Liquids:
<liquid:acid>, Acid
<liquid:curium_246>, Molten Curium-246
<liquid:curium_246_fluoride>, Molten Curium-246 Fluoride
<liquid:curium_246_fluoride_flibe>, Molten FLiBe Salt Solution of Curium-246 Fluoride
<liquid:curium_247>, Molten Curium-247
<liquid:curium_247_fluoride>, Molten Curium-247 Fluoride
<liquid:curium_247_fluoride_flibe>, Molten FLiBe Salt Solution of Curium-247 Fluoride
<liquid:dark_chocolate>, Molten Dark Chocolate
<liquid:depleted_fuel_hea_242>, Molten Depleted HEA-242 Fuel
<liquid:depleted_fuel_hea_242_fluoride>, Molten Depleted HEA-242 Fluoride Fuel
<liquid:depleted_fuel_hea_242_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HEA-242 Fluoride Fuel
<liquid:depleted_fuel_heb_248>, Molten Depleted HEB-248 Fuel
<liquid:depleted_fuel_heb_248_fluoride>, Molten Depleted HEB-248 Fluoride Fuel
<liquid:depleted_fuel_heb_248_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HEB-248 Fluoride Fuel
<liquid:depleted_fuel_hecf_249>, Molten Depleted HECf-249 Fuel
<liquid:depleted_fuel_hecf_249_fluoride>, Molten Depleted HECf-249 Fluoride Fuel
<liquid:depleted_fuel_hecf_249_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HECf-249 Fluoride Fuel
<liquid:depleted_fuel_hecf_251>, Molten Depleted HECf-251 Fuel
<liquid:depleted_fuel_hecf_251_fluoride>, Molten Depleted HECf-251 Fluoride Fuel
<liquid:depleted_fuel_hecf_251_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HECf-251 Fluoride Fuel
<liquid:depleted_fuel_hecm_243>, Molten Depleted HECm-243 Fuel
<liquid:depleted_fuel_hecm_243_fluoride>, Molten Depleted HECm-243 Fluoride Fuel
<liquid:depleted_fuel_hecm_243_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HECm-243 Fluoride Fuel
<liquid:depleted_fuel_hecm_245>, Molten Depleted HECm-245 Fuel
<liquid:depleted_fuel_hecm_245_fluoride>, Molten Depleted HECm-245 Fluoride Fuel
<liquid:depleted_fuel_hecm_245_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HECm-245 Fluoride Fuel
<liquid:depleted_fuel_hecm_247>, Molten Depleted HECm-247 Fuel
<liquid:depleted_fuel_hecm_247_fluoride>, Molten Depleted HECm-247 Fluoride Fuel
<liquid:depleted_fuel_hecm_247_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HECm-247 Fluoride Fuel
<liquid:depleted_fuel_hen_236>, Molten Depleted HEN-236 Fuel
<liquid:depleted_fuel_hen_236_fluoride>, Molten Depleted HEN-236 Fluoride Fuel
<liquid:depleted_fuel_hen_236_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HEN-236 Fluoride Fuel
<liquid:depleted_fuel_hep_239>, Molten Depleted HEP-239 Fuel
<liquid:depleted_fuel_hep_239_fluoride>, Molten Depleted HEP-239 Fluoride Fuel
<liquid:depleted_fuel_hep_239_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HEP-239 Fluoride Fuel
<liquid:depleted_fuel_hep_241>, Molten Depleted HEP-241 Fuel
<liquid:depleted_fuel_hep_241_fluoride>, Molten Depleted HEP-241 Fluoride Fuel
<liquid:depleted_fuel_hep_241_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HEP-241 Fluoride Fuel
<liquid:depleted_fuel_heu_233>, Molten Depleted HEU-233 Fuel
<liquid:depleted_fuel_heu_233_fluoride>, Molten Depleted HEU-233 Fluoride Fuel
<liquid:depleted_fuel_heu_233_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HEU-233 Fluoride Fuel
<liquid:depleted_fuel_heu_235>, Molten Depleted HEU-235 Fuel
<liquid:depleted_fuel_heu_235_fluoride>, Molten Depleted HEU-235 Fluoride Fuel
<liquid:depleted_fuel_heu_235_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted HEU-235 Fluoride Fuel
<liquid:depleted_fuel_lea_242>, Molten Depleted LEA-242 Fuel
<liquid:depleted_fuel_lea_242_fluoride>, Molten Depleted LEA-242 Fluoride Fuel
<liquid:depleted_fuel_lea_242_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LEA-242 Fluoride Fuel
<liquid:depleted_fuel_leb_248>, Molten Depleted LEB-248 Fuel
<liquid:depleted_fuel_leb_248_fluoride>, Molten Depleted LEB-248 Fluoride Fuel
<liquid:depleted_fuel_leb_248_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LEB-248 Fluoride Fuel
<liquid:depleted_fuel_lecf_249>, Molten Depleted LECf-249 Fuel
<liquid:depleted_fuel_lecf_249_fluoride>, Molten Depleted LECf-249 Fluoride Fuel
<liquid:depleted_fuel_lecf_249_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LECf-249 Fluoride Fuel
<liquid:depleted_fuel_lecf_251>, Molten Depleted LECf-251 Fuel
<liquid:depleted_fuel_lecf_251_fluoride>, Molten Depleted LECf-251 Fluoride Fuel
<liquid:depleted_fuel_lecf_251_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LECf-251 Fluoride Fuel
<liquid:depleted_fuel_lecm_243>, Molten Depleted LECm-243 Fuel
<liquid:depleted_fuel_lecm_243_fluoride>, Molten Depleted LECm-243 Fluoride Fuel
<liquid:depleted_fuel_lecm_243_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LECm-243 Fluoride Fuel
<liquid:depleted_fuel_lecm_245>, Molten Depleted LECm-245 Fuel
<liquid:depleted_fuel_lecm_245_fluoride>, Molten Depleted LECm-245 Fluoride Fuel
<liquid:depleted_fuel_lecm_245_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LECm-245 Fluoride Fuel
<liquid:depleted_fuel_lecm_247>, Molten Depleted LECm-247 Fuel
<liquid:depleted_fuel_lecm_247_fluoride>, Molten Depleted LECm-247 Fluoride Fuel
<liquid:depleted_fuel_lecm_247_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LECm-247 Fluoride Fuel
<liquid:depleted_fuel_len_236>, Molten Depleted LEN-236 Fuel
<liquid:depleted_fuel_len_236_fluoride>, Molten Depleted LEN-236 Fluoride Fuel
<liquid:depleted_fuel_len_236_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LEN-236 Fluoride Fuel
<liquid:depleted_fuel_lep_239>, Molten Depleted LEP-239 Fuel
<liquid:depleted_fuel_lep_239_fluoride>, Molten Depleted LEP-239 Fluoride Fuel
<liquid:depleted_fuel_lep_239_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LEP-239 Fluoride Fuel
<liquid:depleted_fuel_lep_241>, Molten Depleted LEP-241 Fuel
<liquid:depleted_fuel_lep_241_fluoride>, Molten Depleted LEP-241 Fluoride Fuel
<liquid:depleted_fuel_lep_241_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LEP-241 Fluoride Fuel
<liquid:depleted_fuel_leu_233>, Molten Depleted LEU-233 Fuel
<liquid:depleted_fuel_leu_233_fluoride>, Molten Depleted LEU-233 Fluoride Fuel
<liquid:depleted_fuel_leu_233_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LEU-233 Fluoride Fuel
<liquid:depleted_fuel_leu_235>, Molten Depleted LEU-235 Fuel
<liquid:depleted_fuel_leu_235_fluoride>, Molten Depleted LEU-235 Fluoride Fuel
<liquid:depleted_fuel_leu_235_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted LEU-235 Fluoride Fuel
<liquid:depleted_fuel_tbu>, Molten Depleted TBU Fuel
<liquid:depleted_fuel_tbu_fluoride>, Molten Depleted TBU Fluoride Fuel
<liquid:depleted_fuel_tbu_fluoride_flibe>, Molten FLiBe Salt Solution of Depleted TBU Fluoride Fuel
<liquid:deuterium>, Deuterium
<liquid:diamond>, Molten Diamond
<liquid:diamond_nak>, Eutectic NaK-Diamond Mixture
<liquid:diamond_nak_hot>, Hot Eutectic NaK-Diamond Mixture
<liquid:diborane>, Diborane
<liquid:diesel>, Diesel
<liquid:dirt>, Liquid Dirt
<liquid:electrum>, Molten Electrum
<liquid:emerald>, Molten Emerald
<liquid:emerald_nak>, Eutectic NaK-Emerald Mixture
<liquid:emerald_nak_hot>, Hot Eutectic NaK-Emerald Mixture
<liquid:ender>, Resonant Ender
<liquid:ender_nak>, Eutectic NaK-Ender Mixture
<liquid:ender_nak_hot>, Hot Eutectic NaK-Ender Mixture
<liquid:enderium>, Molten Enderium
<liquid:ethanol>, Ethanol
<liquid:ethene>, Ethylene
<liquid:exhaust_steam>, Exhaust Steam
<liquid:experience>, Essence of Knowledge
<liquid:ferroboron>, Molten Ferroboron
<liquid:flibe>, Molten FLiBe Salt Mixture
<liquid:fluorine>, Fluorine
<liquid:fluorite_water>, Fluorite Water
<liquid:fluoromethane>, Fluoromethane
<liquid:formic_acid>, Formic Acid
<liquid:fuel_dense>, Dense Fuel (Cool)
<liquid:fuel_dense_heat_1>, Dense Fuel (Hot)
<liquid:fuel_dense_heat_2>, Dense Fuel (Searing)
<liquid:fuel_gaseous>, Gaseous Fuel (Cool)
<liquid:fuel_gaseous_heat_1>, Gaseous Fuel (Hot)
<liquid:fuel_gaseous_heat_2>, Gaseous Fuel (Searing)
<liquid:fuel_hea_242>, Molten HEA-242 Fuel
<liquid:fuel_hea_242_fluoride>, Molten HEA-242 Fluoride Fuel
<liquid:fuel_hea_242_fluoride_flibe>, Molten FLiBe Salt Solution of HEA-242 Fluoride Fuel
<liquid:fuel_heb_248>, Molten HEB-248 Fuel
<liquid:fuel_heb_248_fluoride>, Molten HEB-248 Fluoride Fuel
<liquid:fuel_heb_248_fluoride_flibe>, Molten FLiBe Salt Solution of HEB-248 Fluoride Fuel
<liquid:fuel_hecf_249>, Molten HECf-249 Fuel
<liquid:fuel_hecf_249_fluoride>, Molten HECf-249 Fluoride Fuel
<liquid:fuel_hecf_249_fluoride_flibe>, Molten FLiBe Salt Solution of HECf-249 Fluoride Fuel
<liquid:fuel_hecf_251>, Molten HECf-251 Fuel
<liquid:fuel_hecf_251_fluoride>, Molten HECf-251 Fluoride Fuel
<liquid:fuel_hecf_251_fluoride_flibe>, Molten FLiBe Salt Solution of HECf-251 Fluoride Fuel
<liquid:fuel_hecm_243>, Molten HECm-243 Fuel
<liquid:fuel_hecm_243_fluoride>, Molten HECm-243 Fluoride Fuel
<liquid:fuel_hecm_243_fluoride_flibe>, Molten FLiBe Salt Solution of HECm-243 Fluoride Fuel
<liquid:fuel_hecm_245>, Molten HECm-245 Fuel
<liquid:fuel_hecm_245_fluoride>, Molten HECm-245 Fluoride Fuel
<liquid:fuel_hecm_245_fluoride_flibe>, Molten FLiBe Salt Solution of HECm-245 Fluoride Fuel
<liquid:fuel_hecm_247>, Molten HECm-247 Fuel
<liquid:fuel_hecm_247_fluoride>, Molten HECm-247 Fluoride Fuel
<liquid:fuel_hecm_247_fluoride_flibe>, Molten FLiBe Salt Solution of HECm-247 Fluoride Fuel
<liquid:fuel_hen_236>, Molten HEN-236 Fuel
<liquid:fuel_hen_236_fluoride>, Molten HEN-236 Fluoride Fuel
<liquid:fuel_hen_236_fluoride_flibe>, Molten FLiBe Salt Solution of HEN-236 Fluoride Fuel
<liquid:fuel_hep_239>, Molten HEP-239 Fuel
<liquid:fuel_hep_239_fluoride>, Molten HEP-239 Fluoride Fuel
<liquid:fuel_hep_239_fluoride_flibe>, Molten FLiBe Salt Solution of HEP-239 Fluoride Fuel
<liquid:fuel_hep_241>, Molten HEP-241 Fuel
<liquid:fuel_hep_241_fluoride>, Molten HEP-241 Fluoride Fuel
<liquid:fuel_hep_241_fluoride_flibe>, Molten FLiBe Salt Solution of HEP-241 Fluoride Fuel
<liquid:fuel_heu_233>, Molten HEU-233 Fuel
<liquid:fuel_heu_233_fluoride>, Molten HEU-233 Fluoride Fuel
<liquid:fuel_heu_233_fluoride_flibe>, Molten FLiBe Salt Solution of HEU-233 Fluoride Fuel
<liquid:fuel_heu_235>, Molten HEU-235 Fuel
<liquid:fuel_heu_235_fluoride>, Molten HEU-235 Fluoride Fuel
<liquid:fuel_heu_235_fluoride_flibe>, Molten FLiBe Salt Solution of HEU-235 Fluoride Fuel
<liquid:fuel_lea_242>, Molten LEA-242 Fuel
<liquid:fuel_lea_242_fluoride>, Molten LEA-242 Fluoride Fuel
<liquid:fuel_lea_242_fluoride_flibe>, Molten FLiBe Salt Solution of LEA-242 Fluoride Fuel
<liquid:fuel_leb_248>, Molten LEB-248 Fuel
<liquid:fuel_leb_248_fluoride>, Molten LEB-248 Fluoride Fuel
<liquid:fuel_leb_248_fluoride_flibe>, Molten FLiBe Salt Solution of LEB-248 Fluoride Fuel
<liquid:fuel_lecf_249>, Molten LECf-249 Fuel
<liquid:fuel_lecf_249_fluoride>, Molten LECf-249 Fluoride Fuel
<liquid:fuel_lecf_249_fluoride_flibe>, Molten FLiBe Salt Solution of LECf-249 Fluoride Fuel
<liquid:fuel_lecf_251>, Molten LECf-251 Fuel
<liquid:fuel_lecf_251_fluoride>, Molten LECf-251 Fluoride Fuel
<liquid:fuel_lecf_251_fluoride_flibe>, Molten FLiBe Salt Solution of LECf-251 Fluoride Fuel
<liquid:fuel_lecm_243>, Molten LECm-243 Fuel
<liquid:fuel_lecm_243_fluoride>, Molten LECm-243 Fluoride Fuel
<liquid:fuel_lecm_243_fluoride_flibe>, Molten FLiBe Salt Solution of LECm-243 Fluoride Fuel
<liquid:fuel_lecm_245>, Molten LECm-245 Fuel
<liquid:fuel_lecm_245_fluoride>, Molten LECm-245 Fluoride Fuel
<liquid:fuel_lecm_245_fluoride_flibe>, Molten FLiBe Salt Solution of LECm-245 Fluoride Fuel
<liquid:fuel_lecm_247>, Molten LECm-247 Fuel
<liquid:fuel_lecm_247_fluoride>, Molten LECm-247 Fluoride Fuel
<liquid:fuel_lecm_247_fluoride_flibe>, Molten FLiBe Salt Solution of LECm-247 Fluoride Fuel
<liquid:fuel_len_236>, Molten LEN-236 Fuel
<liquid:fuel_len_236_fluoride>, Molten LEN-236 Fluoride Fuel
<liquid:fuel_len_236_fluoride_flibe>, Molten FLiBe Salt Solution of LEN-236 Fluoride Fuel
<liquid:fuel_lep_239>, Molten LEP-239 Fuel
<liquid:fuel_lep_239_fluoride>, Molten LEP-239 Fluoride Fuel
<liquid:fuel_lep_239_fluoride_flibe>, Molten FLiBe Salt Solution of LEP-239 Fluoride Fuel
<liquid:fuel_lep_241>, Molten LEP-241 Fuel
<liquid:fuel_lep_241_fluoride>, Molten LEP-241 Fluoride Fuel
<liquid:fuel_lep_241_fluoride_flibe>, Molten FLiBe Salt Solution of LEP-241 Fluoride Fuel
<liquid:fuel_leu_233>, Molten LEU-233 Fuel
<liquid:fuel_leu_233_fluoride>, Molten LEU-233 Fluoride Fuel
<liquid:fuel_leu_233_fluoride_flibe>, Molten FLiBe Salt Solution of LEU-233 Fluoride Fuel
<liquid:fuel_leu_235>, Molten LEU-235 Fuel
<liquid:fuel_leu_235_fluoride>, Molten LEU-235 Fluoride Fuel
<liquid:fuel_leu_235_fluoride_flibe>, Molten FLiBe Salt Solution of LEU-235 Fluoride Fuel
<liquid:fuel_light>, Fuel (Cool)
<liquid:fuel_light_heat_1>, Fuel (Hot)
<liquid:fuel_light_heat_2>, Fuel (Searing)
<liquid:fuel_mixed_heavy>, Mixed Heavy Fuels (Cool)
<liquid:fuel_mixed_heavy_heat_1>, Mixed Heavy Fuels (Hot)
<liquid:fuel_mixed_heavy_heat_2>, Mixed Heavy Fuels (Searing)
<liquid:fuel_mixed_light>, Mixed Light Fuels (Cool)
<liquid:fuel_mixed_light_heat_1>, Mixed Light Fuels (Hot)
<liquid:fuel_mixed_light_heat_2>, Mixed Light Fuels (Searing)
<liquid:fuel_tbu>, Molten TBU Fuel
<liquid:fuel_tbu_fluoride>, Molten TBU Fluoride Fuel
<liquid:fuel_tbu_fluoride_flibe>, Molten FLiBe Salt Solution of TBU Fluoride Fuel
<liquid:gasoline>, Gasoline
<liquid:gelatin>, Molten Gelatin
<liquid:glass>, Molten Glass
<liquid:glowstone>, Energized Glowstone
<liquid:glowstone_nak>, Eutectic NaK-Glowstone Mixture
<liquid:glowstone_nak_hot>, Hot Eutectic NaK-Glowstone Mixture
<liquid:gold>, Molten Gold
<liquid:gold_nak>, Eutectic NaK-Gold Mixture
<liquid:gold_nak_hot>, Hot Eutectic NaK-Gold Mixture
<liquid:hard_carbon>, Molten Hard Carbon
<liquid:harshen_dimensional_fluid>, Harshen Dimensional Fluid
<liquid:harshing_water>, Harshing Water
<liquid:helium>, Helium
<liquid:helium3>, Helium-3
<liquid:high_pressure_steam>, High Pressure Steam
<liquid:honey>, Honey
<liquid:hydrated_gelatin>, Hydrated Gelatin
<liquid:hydrofluoric_acid>, Hydrofluoric Acid
<liquid:hydrogen>, Hydrogen
<liquid:ic2air>, Air
<liquid:ic2biogas>, Biogas
<liquid:ic2biomass>, Biomass
<liquid:ic2construction_foam>, Construction Foam
<liquid:ic2coolant>, IC2 Coolant
<liquid:ic2distilled_water>, Distilled Water
<liquid:ic2heavy_water>, Heavy Water
<liquid:ic2hot_coolant>, IC2 Hot Coolant
<liquid:ic2hot_water>, Hotspring Water
<liquid:ic2hydrogen>, Hydrogen
<liquid:ic2oxygen>, Oxygen
<liquid:ic2pahoehoe_lava>, Pahoehoe Lava
<liquid:ic2steam>, Steam
<liquid:ic2superheated_steam>, Superheated Steam
<liquid:ic2uu_matter>, UU-Matter
<liquid:ic2weed_ex>, Weed-Ex
<liquid:invar>, Molten Invar
<liquid:iridium>, Molten Iridium
<liquid:iron>, Molten Iron
<liquid:iron_nak>, Eutectic NaK-Iron Mixture
<liquid:iron_nak_hot>, Hot Eutectic NaK-Iron Mixture
<liquid:knightslime>, Molten Knightslime
<liquid:koh>, Molten Potassium Hydroxide
<liquid:lapis>, Molten Lapis
<liquid:lapis_nak>, Eutectic NaK-Lapis Mixture
<liquid:lapis_nak_hot>, Hot Eutectic NaK-Lapis Mixture
<liquid:lava>, Lava
<liquid:lead>, Molten Lead
<liquid:lif>, Molten Lithium Fluoride
<liquid:liquidantimatter>, Liquid Antimatter
<liquid:liquidcoralium>, Liquid Coralium
<liquid:liquidhelium>, Liquid Helium
<liquid:liquidhelium_nak>, Eutectic NaK-Helium Mixture
<liquid:liquidhelium_nak_hot>, Hot Eutectic NaK-Helium Mixture
<liquid:lithium>, Molten Lithium
<liquid:lithium6>, Molten Lithium-6
<liquid:lithium7>, Molten Lithium-7
<liquid:low_pressure_steam>, Low Pressure Steam
<liquid:low_quality_steam>, Low Quality Steam
<liquid:lubricant>, Lubricant
<liquid:lumium>, Molten Lumium
<liquid:magnesium>, Molten Magnesium
<liquid:magnesium_nak>, Eutectic NaK-Magnesium Mixture
<liquid:magnesium_nak_hot>, Hot Eutectic NaK-Magnesium Mixture
<liquid:mana>, Primal Mana
<liquid:manyullyn>, Molten Manyullyn
<liquid:marshmallow>, Liquid Marshmallow
<liquid:methanol>, Methanol
<liquid:milk>, Milk
<liquid:milk_chocolate>, Molten Milk Chocolate
<liquid:moltenabyssalnite>, Molten Abyssalnite
<liquid:moltendreadium>, Molten Dreadium
<liquid:moltenrefinedcoralium>, Molten Refined Coralium
<liquid:mushroom_stew>, Mushroom Stew
<liquid:nak>, Eutectic NaK Alloy
<liquid:nak_hot>, Hot Eutectic NaK Alloy
<liquid:naoh>, Molten Sodium Hydroxide
<liquid:napalm>, Napalm
<liquid:neptunium_236>, Molten Neptunium-236
<liquid:neptunium_236_fluoride>, Molten Neptunium-236 Fluoride
<liquid:neptunium_236_fluoride_flibe>, Molten FLiBe Salt Solution of Neptunium-236 Fluoride
<liquid:neptunium_237>, Molten Neptunium-237
<liquid:neptunium_237_fluoride>, Molten Neptunium-237 Fluoride
<liquid:neptunium_237_fluoride_flibe>, Molten FLiBe Salt Solution of Neptunium-237 
<liquid:neutron>, Neutron Fluid
<liquid:nickel>, Molten Nickel
<liquid:nitrogen>, Nitrogen
<liquid:obsidian>, Molten Obsidian
<liquid:oil>, Crude Oil (Cool)
<liquid:oil_dense>, Dense Oil (Cool)
<liquid:oil_dense_heat_1>, Dense Oil (Hot)
<liquid:oil_dense_heat_2>, Dense Oil (Searing)
<liquid:oil_distilled>, Distilled Oil (Cool)
<liquid:oil_distilled_heat_1>, Distilled Oil (Hot)
<liquid:oil_distilled_heat_2>, Distilled Oil (Searing)
<liquid:oil_heat_1>, Crude Oil (Hot)
<liquid:oil_heat_2>, Crude Oil (Searing)
<liquid:oil_heavy>, Heavy Oil (Cool)
<liquid:oil_heavy_heat_1>, Heavy Oil (Hot)
<liquid:oil_heavy_heat_2>, Heavy Oil (Searing)
<liquid:oil_residue>, Residue (Cool)
<liquid:oil_residue_heat_1>, Residue (Hot)
<liquid:oil_residue_heat_2>, Residue (Searing)
<liquid:oxygen>, Oxygen
<liquid:oxygen_difluoride>, Oxygen Difluoride
<liquid:petrotheum>, Tectonic Petrotheum
<liquid:pigiron>, Molten Pigiron
<liquid:plantoil>, Plant Oil
<liquid:plasma>, Plasma
<liquid:platinum>, Molten Platinum
<liquid:plutonium>, Molten Plutonium
<liquid:plutonium_238>, Molten Plutonium-238
<liquid:plutonium_238_fluoride>, Molten Plutonium-238 Fluoride
<liquid:plutonium_238_fluoride_flibe>, Molten FLiBe Salt Solution of Plutonium-238 Fluoride
<liquid:plutonium_239>, Molten Plutonium-239
<liquid:plutonium_239_fluoride>, Molten Plutonium-239 Fluoride
<liquid:plutonium_239_fluoride_flibe>, Molten FLiBe Salt Solution of Plutonium-239 Fluoride
<liquid:plutonium_241>, Molten Plutonium-241
<liquid:plutonium_241_fluoride>, Molten Plutonium-241 Fluoride
<liquid:plutonium_241_fluoride_flibe>, Molten FLiBe Salt Solution of Plutonium-241 Fluoride
<liquid:plutonium_242>, Molten Plutonium-242
<liquid:plutonium_242_fluoride>, Molten Plutonium-242 Fluoride
<liquid:plutonium_242_fluoride_flibe>, Molten FLiBe Salt Solution of Plutonium-242 Fluoride
<liquid:plutonium_fluoride>, Molten Plutonium Fluoride
<liquid:plutonium_fluoride_flibe>, Molten FLiBe Salt Solution of Plutonium Fluoride
<liquid:potassium>, Molten Potassium
<liquid:potassium_fluoride_solution>, Potassium Fluoride Solution
<liquid:potassium_hydroxide_solution>, Potassium Hydroxide Solution
<liquid:potion>, Potion
<liquid:potion_lingering>, Lingering Potion
<liquid:potion_splash>, Splash Potion
<liquid:preheated_water>, Preheated Water
<liquid:purpleslime>, Liquid Purple Slime
<liquid:pyrotheum>, Blazing Pyrotheum
<liquid:quartz>, Molten Quartz
<liquid:quartz_nak>, Eutectic NaK-Quartz Mixture
<liquid:quartz_nak_hot>, Hot Eutectic NaK-Quartz Mixture
<liquid:radaway>, RadAway Fluid
<liquid:redstone>, Destabilized Redstone
<liquid:redstone_nak>, Eutectic NaK-Redstone Mixture
<liquid:redstone_nak_hot>, Hot Eutectic NaK-Redstone Mixture
<liquid:refined_biofuel>, Grassoline
<liquid:refined_fuel>, Refined Fuel
<liquid:refined_oil>, Naphtha
<liquid:resin>, Resin
<liquid:rocketfuel>, Rocket Fuel
<liquid:rubber>, Rubber
<liquid:sap>, Sap
<liquid:seed_oil>, Seed Oil
<liquid:signalum>, Molten Signalum
<liquid:silver>, Molten Silver
<liquid:sodium>, Molten Sodium
<liquid:sodium_fluoride_solution>, Sodium Fluoride Solution
<liquid:sodium_hydroxide_solution>, Sodium Hydroxide Solution
<liquid:stagnant_water>, Stagnant Water
<liquid:steam>, Steam
